+----------------------+----------------------+
| Token                | Text                 |
+----------------------+----------------------+
| INT                  | int                  |
| IDENTIFIER           | main                 |
| LEFT_PAREN           | (                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| INT                  | int                  |
| IDENTIFIER           | num                  |
| ASSIGN               | =                    |
| CONSTANT             | 10                   |
| SEMICOLON            | ;                    |
| FLOAT                | float                |
| IDENTIFIER           | _value               |
| ASSIGN               | =                    |
| CONSTANT             | 3.14                 |
| SEMICOLON            | ;                    |
| CHAR                 | char                 |
| ASTERISK             | *                    |
| IDENTIFIER           | str                  |
| ASSIGN               | =                    |
| STRING_LITERAL       | "Hello, World!"      |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| INVALID_ID           | 3num                 |
| ASSIGN               | =                    |
| CONSTANT             | 20                   |
| SEMICOLON            | ;                    |
| FLOAT                | float                |
| INVALID_ID           | 123a                 |
| ASSIGN               | =                    |
| CONSTANT             | 45.67                |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | hex_num              |
| ASSIGN               | =                    |
| INVALID_ID           | 0x1A3F               |
| SEMICOLON            | ;                    |
| LONG                 | long                 |
| IDENTIFIER           | long_num             |
| ASSIGN               | =                    |
| INVALID_ID           | 1234567890UL         |
| SEMICOLON            | ;                    |
| DOUBLE               | double               |
| IDENTIFIER           | sci_num              |
| ASSIGN               | =                    |
| CONSTANT             | 1.23e-4              |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | invalid_hex          |
| ASSIGN               | =                    |
| INVALID_ID           | 0x1G3F               |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | invalid_oct          |
| ASSIGN               | =                    |
| CONSTANT             | 01238                |
| SEMICOLON            | ;                    |
| FLOAT                | float                |
| IDENTIFIER           | invalid_float        |
| ASSIGN               | =                    |
| INVALID_ID           | 123a                 |
| SEMICOLON            | ;                    |
| CHAR                 | char                 |
| ASTERISK             | *                    |
| IDENTIFIER           | valid_str1           |
| ASSIGN               | =                    |
| STRING_LITERAL       | "This is a valid string." |
| SEMICOLON            | ;                    |
| CHAR                 | char                 |
| ASTERISK             | *                    |
| IDENTIFIER           | valid_str2           |
| ASSIGN               | =                    |
| STRING_LITERAL       | "Another valid string with escape \\n" |
| SEMICOLON            | ;                    |
| CHAR                 | char                 |
| ASTERISK             | *                    |
| IDENTIFIER           | unterminated_str     |
| ASSIGN               | =                    |
| STRING_LITERAL       | "This string is not properly closed" |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| ASSIGN               | =                    |
| CONSTANT             | 5                    |
| COMMA                | ,                    |
| IDENTIFIER           | b                    |
| ASSIGN               | =                    |
| CONSTANT             | 10                   |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | sum                  |
| ASSIGN               | =                    |
| IDENTIFIER           | a                    |
| PLUS                 | +                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | diff                 |
| ASSIGN               | =                    |
| IDENTIFIER           | a                    |
| MINUS                | -                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | prod                 |
| ASSIGN               | =                    |
| IDENTIFIER           | a                    |
| ASTERISK             | *                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | quotient             |
| ASSIGN               | =                    |
| IDENTIFIER           | a                    |
| SLASH                | /                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | remainder            |
| ASSIGN               | =                    |
| IDENTIFIER           | a                    |
| PERCENT              | %                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| IF                   | if                   |
| LEFT_PAREN           | (                    |
| IDENTIFIER           | sum                  |
| GREATER_THAN         | >                    |
| IDENTIFIER           | diff                 |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "Sum is greater than difference.\n" |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| ELSE                 | else                 |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "Difference is greater than sum.\n" |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| FOR                  | for                  |
| LEFT_PAREN           | (                    |
| INT                  | int                  |
| IDENTIFIER           | i                    |
| ASSIGN               | =                    |
| CONSTANT             | 0                    |
| SEMICOLON            | ;                    |
| IDENTIFIER           | i                    |
| LESS_THAN            | <                    |
| CONSTANT             | 5                    |
| SEMICOLON            | ;                    |
| IDENTIFIER           | i                    |
| INC_OP               | ++                   |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "Loop iteration: %d\n" |
| COMMA                | ,                    |
| IDENTIFIER           | i                    |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| RETURN               | return               |
| CONSTANT             | 0                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |

SYMBOL TABLE:
+-----------------+-----------------+-----------------+
| Name            | Type            | Return Type     |
+-----------------+-----------------+-----------------+
| num             | variable        | INT             |
| _value          | variable        | FLOAT           |
| str             | variable        | CHAR*           |
| 3num            | variable        | INT             |
| 123a            | variable        | FLOAT           |
| hex_num         | variable        | INT             |
| long_num        | variable        | LONG            |
| sci_num         | variable        | DOUBLE          |
| invalid_hex     | variable        | INT             |
| invalid_oct     | variable        | INT             |
| invalid_float   | variable        | FLOAT           |
| valid_str1      | variable        | CHAR*           |
| valid_str2      | variable        | CHAR*           |
| unterminated_str | variable        | CHAR*           |
| a               | variable        | INT             |
| sum             | variable        | INT             |
| diff            | variable        | INT             |
| prod            | variable        | INT             |
| quotient        | variable        | INT             |
| remainder       | variable        | INT             |
| i               | variable        | INT             |
| main            | function        | INT             |
+-----------------+-----------------+-----------------+
