 Test file with multiple errors to test error recovery /+----------------------+----------------------+
| Token                | Text                 |
+----------------------+----------------------+
| INT                  | int                  |
| IDENTIFIER           | main                 |
| LEFT_PAREN           | (                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| INT                  | int                  |
| IDENTIFIER           | invalid              |
| INVALID_CHAR         | @                    |
| IDENTIFIER           | id                   |
| ASSIGN               | =                    |
| CONSTANT             | 10                   |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | octal                |
| ASSIGN               | =                    |
| CONSTANT             | 0789                 |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | x                    |
| ASSIGN               | =                    |
| CONSTANT             | 10                   |
| INT                  | int                  |
| IDENTIFIER           | y                    |
| ASSIGN               | =                    |
| CONSTANT             | 20                   |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | z                    |
| ASSIGN               | =                    |
| CONSTANT             | 5                    |
| PLUS                 | +                    |
| ASTERISK             | *                    |
| CONSTANT             | 3                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| ASSIGN               | =                    |
| LEFT_PAREN           | (                    |
| CONSTANT             | 5                    |
| PLUS                 | +                    |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | b                    |
| ASSIGN               | =                    |
| CONSTANT             | 5                    |
| PLUS                 | +                    |
| PLUS                 | +                    |
| CONSTANT             | 6                    |
| SEMICOLON            | ;                    |
| IF                   | if                   |
| LEFT_PAREN           | (                    |
| IDENTIFIER           | x                    |
| GREATER_THAN         | >                    |
| CONSTANT             | 5                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "x is greater than 5\n" |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| IF                   | if                   |
| LEFT_PAREN           | (                    |
| IDENTIFIER           | y                    |
| LESS_THAN            | <                    |
| CONSTANT             | 10                   |
| RIGHT_PAREN          | )                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "y is less than 10\n" |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| IDENTIFIER           | y                    |
| ASSIGN               | =                    |
| IDENTIFIER           | y                    |
| PLUS                 | +                    |
| CONSTANT             | 1                    |
| SEMICOLON            | ;                    |
| VOID                 | void                 |
| IDENTIFIER           | function1            |
| LEFT_PAREN           | (                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| COMMA                | ,                    |
| INT                  | int                  |
| IDENTIFIER           | b                    |
| COMMA                | ,                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| RETURN               | return               |
| IDENTIFIER           | a                    |
| PLUS                 | +                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| STRUCT               | struct               |
| IDENTIFIER           | Point                |
| LEFT_BRACE           | {                    |
| INT                  | int                  |
| IDENTIFIER           | x                    |
| INT                  | int                  |
| IDENTIFIER           | y                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | m                    |
| ASSIGN               | =                    |
| CONSTANT             | 1                    |
| COMMA                | ,                    |
| IDENTIFIER           | n                    |
| ASSIGN               | =                    |
| COMMA                | ,                    |
| IDENTIFIER           | p                    |
| ASSIGN               | =                    |
| CONSTANT             | 3                    |
| SEMICOLON            | ;                    |
| FOR                  | for                  |
| LEFT_PAREN           | (                    |
| INT                  | int                  |
| IDENTIFIER           | i                    |
| ASSIGN               | =                    |
| CONSTANT             | 0                    |
| SEMICOLON            | ;                    |
| IDENTIFIER           | i                    |
| LESS_THAN            | <                    |
| CONSTANT             | 10                   |
| IDENTIFIER           | i                    |
| INC_OP               | ++                   |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "%d\n"               |
| COMMA                | ,                    |
| IDENTIFIER           | i                    |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| INT                  | int                  |
| IDENTIFIER           | nested               |
| ASSIGN               | =                    |
| CONSTANT             | 5                    |
| PLUS                 | +                    |
| LEFT_PAREN           | (                    |
| CONSTANT             | 3                    |
| ASTERISK             | *                    |
| LEFT_PAREN           | (                    |
| CONSTANT             | 2                    |
| MINUS                | -                    |
| RIGHT_PAREN          | )                    |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | arr                  |
| LEFT_BRACKET         | [                    |
| CONSTANT             | 10                   |
| RIGHT_BRACKET        | ]                    |
| ASSIGN               | =                    |
| LEFT_BRACE           | {                    |
| CONSTANT             | 1                    |
| COMMA                | ,                    |
| CONSTANT             | 2                    |
| COMMA                | ,                    |
| CONSTANT             | 3                    |
| COMMA                | ,                    |
| COMMA                | ,                    |
| CONSTANT             | 5                    |
| RIGHT_BRACE          | }                    |
| SEMICOLON            | ;                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "Hello"              |
| COMMA                | ,                    |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| WHILE                | while                |
| LEFT_PAREN           | (                    |
| CONSTANT             | 1                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| BREAK                | break                |
| CONTINUE             | continue             |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| IDENTIFIER           | q                    |
| ASSIGN               | =                    |
| CONSTANT             | 25                   |
| SEMICOLON            | ;                    |
| CHAR                 | char                 |
| ASTERISK             | *                    |
| IDENTIFIER           | str2                 |
| ASSIGN               | =                    |
| CONSTANT             | 123                  |
| SEMICOLON            | ;                    |
| RETURN               | return               |
| CONSTANT             | 0                    |
| RIGHT_BRACE          | }                    |
| INT                  | int                  |
| IDENTIFIER           | add                  |
| LEFT_PAREN           | (                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| COMMA                | ,                    |
| IDENTIFIER           | b                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| RETURN               | return               |
| IDENTIFIER           | a                    |
| PLUS                 | +                    |
| IDENTIFIER           | b                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| VOID                 | void                 |
| IDENTIFIER           | test                 |
| LEFT_PAREN           | (                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IF                   | if                   |
| LEFT_PAREN           | (                    |
| CONSTANT             | 1                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| IDENTIFIER           | printf               |
| LEFT_PAREN           | (                    |
| STRING_LITERAL       | "test"               |
| RIGHT_PAREN          | )                    |
| SEMICOLON            | ;                    |
| RETURN               | return               |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| IF                   | if                   |
