+----------------------+----------------------+
| Token                | Text                 |
+----------------------+----------------------+
| INT                  | int                  |
| IDENTIFIER           | a                    |
| LEFT_PAREN           | (                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| COMMA                | ,                    |
| INT                  | int                  |
| IDENTIFIER           | b                    |
| RIGHT_PAREN          | )                    |
| LEFT_BRACE           | {                    |
| INT                  | int                  |
| IDENTIFIER           | c                    |
| SEMICOLON            | ;                    |
| VOID                 | void                 |
| IDENTIFIER           | d                    |
| SEMICOLON            | ;                    |
| STRUCT               | struct               |
| IDENTIFIER           | nice                 |
| LEFT_BRACE           | {                    |
| INT                  | int                  |
| IDENTIFIER           | a                    |
| SEMICOLON            | ;                    |
| INT                  | int                  |
| IDENTIFIER           | fuck                 |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
| SEMICOLON            | ;                    |
| STRUCT               | struct               |
| IDENTIFIER           | s                    |
| SEMICOLON            | ;                    |
| RIGHT_BRACE          | }                    |
